client_name,primary_key,lobby_url,lobbying_firm,policy_areas,politicians_targeted,politicians_count,lobbying_period_start_date
Ocean Winds Ireland Limited,90443,https://www.lobbying.ie/return/90443,Hanover Media Strategy Limited,Energy and Natural Resources,"Alan Farrell, Brian Leddin, Christopher O'Sullivan, Darren O'Rourke, John Cummins, Kevin Dillon, Matthew Collins, Paul Kehoe, Paul Kenny, Pauline O'Reilly",10,2022-09-01T00:00:00.000000
Oceanscape Ltd,137912,https://www.lobbying.ie/return/137912,Declan Brassil & Co.,Development and Zoning,"Anna Grainger, Barry Saul, Eoin O’Driscoll, JP Durkan, Jacqueline Burke, Jim O'Leary, Pierce Dargan",7,2026-01-01T00:00:00.000000
October Investments,136054,https://www.lobbying.ie/return/136054,mc peake auctioneers,Local Government,Jimmy Guerin,1,2025-09-01T00:00:00.000000
Okta,102164,https://www.lobbying.ie/return/102164,Access Partnership,EU Affairs,Amy Sheils,1,2023-05-01T00:00:00.000000
Old Balreask Company Ltd,141255,https://www.lobbying.ie/return/141255,Noel Dempsey Consulting,Development and Zoning,Gareth McMahon,1,2026-01-01T00:00:00.000000
Old Balreask Company Ltd,7444,https://www.lobbying.ie/return/7444,Douglas Hyde,Development and Zoning,Brian Fitzgerald,1,2016-05-01T00:00:00.000000
Old Balreask Company Ltd.,142760,https://www.lobbying.ie/return/142760,Douglas Hyde,Development and Zoning,Gareth McMahon,1,2026-01-01T00:00:00.000000
Old Dublin Road Business Community,31407,https://www.lobbying.ie/return/31407,Enniscorthy & District Chamber,Environment,Eamonn Hore,1,2018-05-01T00:00:00.000000
Olive Group,96939,https://www.lobbying.ie/return/96939,Pinnacle Public Affairs Ltd,Education and Training,"Cathal Crowe, Paul Kehoe",2,2023-01-01T00:00:00.000000
Olive Group,87991,https://www.lobbying.ie/return/87991,Pinnacle Public Affairs Ltd,Education and Training,Eamonn Molloy,1,2022-05-01T00:00:00.000000
Olive Group,87993,https://www.lobbying.ie/return/87993,Pinnacle Public Affairs Ltd,Education and Training,"Aisling Dolan, Malcolm Byrne, Pauline O'Reilly",3,2022-05-01T00:00:00.000000
Olive Group,84307,https://www.lobbying.ie/return/84307,Pinnacle Public Affairs Ltd,Education and Training,"Alan Farrell, Marc Ó Cathasaigh",2,2022-01-01T00:00:00.000000
Olive Group,79152,https://www.lobbying.ie/return/79152,Pinnacle Public Affairs Ltd,Education and Training,"Jim O'Callaghan, Malcolm Byrne, Paul Kehoe, Pauric McPhillips",4,2021-09-01T00:00:00.000000
Olive Group,75896,https://www.lobbying.ie/return/75896,Pinnacle Public Affairs Ltd,Education and Training,Eamonn Molloy,1,2021-05-01T00:00:00.000000
Oliver Russell,6254,https://www.lobbying.ie/return/6254,Corr & Associates Spatial Planning Ltd,Development and Zoning,"Anne Devitt, Brian Dennehy, Brian McDonagh, Darragh Butler, David McGuinness, David O'Connor, Duncan Smith, Eugene Coppinger, Gráinne Maguire, Jimmy Guerin, Joe Newman, John Paul  Browne, Malachy Quinn, Paul Mulville, Tony Murphy",15,2016-01-01T00:00:00.000000
Olympic Council of Ireland,25224,https://www.lobbying.ie/return/25224,The Communications Clinic,Sports and Recreation,"Aisling Dunne, Carol Hunt",2,2017-09-01T00:00:00.000000
Omega Aviation Services Ltd,53311,https://www.lobbying.ie/return/53311,Douglas Hyde,Development and Zoning,"AnnMarie Farrelly, Howard Mahony, Matthew McAleese, Ted Leddy",4,2019-09-01T00:00:00.000000
Omega aviation services,55422,https://www.lobbying.ie/return/55422,Anne devitt,Development and Zoning,"Cathal Boland, Darragh Butler, Gráinne Maguire, Howard Mahony, Jimmy Guerin, Kieran Dennison, Mary McCamley, Tom O'Leary, Tony Murphy",9,2019-09-01T00:00:00.000000
Oppermann Associates,57955,https://www.lobbying.ie/return/57955,Paul Allen & Associates Public Relations,Housing,Joan Martin,1,2020-01-01T00:00:00.000000
Optum Services (Ireland) Limited,128294,https://www.lobbying.ie/return/128294,Optum Services (Ireland) Limited,Trade,Declan Hughes,1,2025-05-01T00:00:00.000000
Optum Services (Ireland) Limited,128292,https://www.lobbying.ie/return/128292,Optum Services (Ireland) Limited,Health,"Barry Cowen, Peter Burke",2,2025-05-01T00:00:00.000000
Orbutis Law Ltd,119865,https://www.lobbying.ie/return/119865,Pinnacle Public Affairs Ltd,Economic Development and Industry,Frank Curran,1,2024-09-01T00:00:00.000000
Orchard County Residential Estates Ltd.,70490,https://www.lobbying.ie/return/70490,Vivian Cummins + Associates Ltd.,Development and Zoning,"Aoife Breslin, Brian Dooley, Ivan Keatley, Mark Leigh, Peter Carey, Veralouise Behan",6,2021-01-01T00:00:00.000000
Orchard County Residential Estates Ltd.,70815,https://www.lobbying.ie/return/70815,DC Architects + Engineers Ltd.,Local Government,"Aoife Breslin, Brian Dooley, Ivan Keatley, Mark Leigh",4,2021-01-01T00:00:00.000000
Organon,100036,https://www.lobbying.ie/return/100036,Vulcan Consulting Limited,Health,"Catherine Ardagh, Erin McGreehan, Fiona O'Loughlin, Laura McGonigle, Lisa Chambers, Lorraine Clifford-Lee, Mary Fitzpatrick",7,2023-05-01T00:00:00.000000
Orieil Wind Farm,73575,https://www.lobbying.ie/return/73575,Murray,Energy and Natural Resources,"Andrea McKevitt, Antoín Watters, Colm Markey, Conor Keelan, Edel Corrigan, Fergus O'Dowd, Ged Nash, Hugh D Conlon, Imelda Munster, Jim Tenanty, Joan Martin, John Reilly, Kevin Meenan, Maeve Anna Yore, Maria Doyle, Marianne Butler, Pearse McGeough, Peter Fitzpatrick, Ruairí Ó Murchú, Sean Kelly, Tomás Sharkey",21,2021-01-01T00:00:00.000000
Oriel Wind Farm,73590,https://www.lobbying.ie/return/73590,Murray,Energy and Natural Resources,Pio Martin Smith,1,2021-01-01T00:00:00.000000
Oriel Wind Farm,73598,https://www.lobbying.ie/return/73598,Murray,Energy and Natural Resources,"Michelle Hall, Peter Burke, Tom Cunningham",3,2021-01-01T00:00:00.000000
Oriel Wind Farm,73591,https://www.lobbying.ie/return/73591,Murray,Energy and Natural Resources,Joanna Byrne,1,2021-01-01T00:00:00.000000
Oriel Wind Farm,73589,https://www.lobbying.ie/return/73589,Murray,Energy and Natural Resources,Fiachra Mac Raghnaill,1,2021-01-01T00:00:00.000000
Oriel Wind Farm,73595,https://www.lobbying.ie/return/73595,Murray,Energy and Natural Resources,Paddy McQuillan,1,2021-01-01T00:00:00.000000
Oriel Wind Farm,73580,https://www.lobbying.ie/return/73580,Murray,Energy and Natural Resources,Ged Nash,1,2021-01-01T00:00:00.000000
Oriel Wind Farm,73594,https://www.lobbying.ie/return/73594,Murray,Energy and Natural Resources,Erin McGreehan,1,2021-01-01T00:00:00.000000
Oriel Windfarm,81536,https://www.lobbying.ie/return/81536,Murray,Energy and Natural Resources,"Andrea McKevitt, Antoín Watters, Bernie Conlon, Colm Markey, Conor Keelan, Declan Power, Dolores Minogue, Edel Corrigan, Eileen Tully, Elaine McGinty, Emma Coffey, Erin McGreehan, Fergus O'Dowd, Gerald Nash, Imelda Munster, John Reilly, John Sheridan, Kevin Meenan, Maria Doyle, Marianne Butler, Michelle Hall, Paddy Meade, Pearse McGeough, Peter Fitzpatrick, Ruairí Ó Murchú, Sean Kelly, Sharon Tolan, Stephen McKee, Tom Behan, Tom Cunningham, Tomás Sharkey, Wayne Harding",32,2021-09-01T00:00:00.000000
Osteopathic Council of Ireland,93140,https://www.lobbying.ie/return/93140,David Curtin & Co Ltd,Health,Stephen Donnelly,1,2022-09-01T00:00:00.000000
Our Fish,33927,https://www.lobbying.ie/return/33927,MIKE WALKER,Marine,Michael Creed,1,2018-09-01T00:00:00.000000
Outdoor Media Association Ltd,13027,https://www.lobbying.ie/return/13027,Drury,Health,Marcella Corcoran Kennedy,1,2016-09-01T00:00:00.000000
Oxfam Ireland,5981,https://www.lobbying.ie/return/5981,Q4PR,Justice and Equality,"Brid Smith, Eoin O'Broin, John Lyons",3,2016-01-01T00:00:00.000000
O’Driscoll O’Neil,17581,https://www.lobbying.ie/return/17581,Instinctif Partners Public Affairs Ireland,Education and Training,"Brendan Howlin, Carol Nolan, Catherine Martin, Catherine Murphy, Ciaran Cannon, Enda Kenny, Fiona O'Loughlin, Gerry Adams, Jim Daly, Joan Burton, John Halligan, Kate O'Connell, Lynn Ruane, Maria Byrne, Micheál Martin, Robbie Gallagher, Róisín Shortall, Thomas Byrne, Trevor Ó Clochartaigh",19,2017-01-01T00:00:00.000000
O’Driscoll O’Neil,17592,https://www.lobbying.ie/return/17592,Instinctif Partners Public Affairs Ireland,Education and Training,"Carol Nolan, Catherine Martin, Ciaran Cannon, Fiona O'Loughlin, Jim Daly, Joan Burton, Lynn Ruane, Maria Byrne, Robbie Gallagher, Thomas Byrne, Trevor Ó Clochartaigh",11,2017-01-01T00:00:00.000000
O’Driscoll O’Neil,13526,https://www.lobbying.ie/return/13526,Instinctif Partners Public Affairs Ireland,Education and Training,John Lahart,1,2016-09-01T00:00:00.000000
PACKSIDE LIMITED,11337,https://www.lobbying.ie/return/11337,DOWNEY PLANNING,Development and Zoning,Lorna Nolan,1,2016-05-01T00:00:00.000000
PADDY POWER BETFAIR PUBLIC LIMITED COMPANY,21303,https://www.lobbying.ie/return/21303,PricewaterhouseCoopers,Taxation,Derek Moran,1,2017-05-01T00:00:00.000000
PAT O'DONNELL & COMPANY,21133,https://www.lobbying.ie/return/21133,Ogier (Ireland) LLP,Transport,"Deirdre O'Keeffe, Shane Ross",2,2017-05-01T00:00:00.000000
PBSA Council of Ireland,134131,https://www.lobbying.ie/return/134131,PBSA Council of Ireland,Housing,James Lawless,1,2026-01-01T00:00:00.000000
PBSA Council of Ireland,134128,https://www.lobbying.ie/return/134128,PBSA Council of Ireland,Housing,James Browne,1,2026-01-01T00:00:00.000000
PEMBROKE BEACH DESIGNATED ACTIVITY COMPANY,89540,https://www.lobbying.ie/return/89540,Lioncor Developments Limited,Housing,"Caroline Timmons, Coilín O'Reilly, Richard Shakespeare",3,2022-05-01T00:00:00.000000
PEMBROKE BEACH DESIGNATED ACTIVITY COMPANY,89443,https://www.lobbying.ie/return/89443,Lioncor Developments Limited,Housing,"Darragh O'Brien, Owen Keegan",2,2022-05-01T00:00:00.000000
PFIZER HEALTHCARE IRELAND,24783,https://www.lobbying.ie/return/24783,Edelman Ireland,Health,Deirdre Clune,1,2017-09-01T00:00:00.000000
PHELAN ENERGY GROUP LTD.,73530,https://www.lobbying.ie/return/73530,Vulcan Consulting Limited,Housing,Darragh O'Brien,1,2021-01-01T00:00:00.000000
PHELAN ENERGY GROUP LTD.,66811,https://www.lobbying.ie/return/66811,Vulcan Consulting Limited,Housing,Darragh O'Brien,1,2020-09-01T00:00:00.000000
PHX Ireland ,126067,https://www.lobbying.ie/return/126067,"FleishmanHillard, Ireland",Health,Jack Chambers,1,2025-01-01T00:00:00.000000
PJ Carroll,28086,https://www.lobbying.ie/return/28086,Red Flag Consulting Limited,Health,Noel Rock,1,2018-01-01T00:00:00.000000
PJ Carroll,28100,https://www.lobbying.ie/return/28100,Red Flag Consulting Limited,Health,"Charlie McConalogue, Joan Collins, Maureen O'Sullivan",3,2018-01-01T00:00:00.000000
PJ Hegarty,81188,https://www.lobbying.ie/return/81188,JKS Communications,Development and Zoning,"Barry Saul, Barry Ward, Gerry Horkan, Jim O'Leary, Shay Brennan",5,2021-09-01T00:00:00.000000
PJ Hegarty and Son,140740,https://www.lobbying.ie/return/140740,JKS Communications,Development and Zoning,"Anna Grainger, Barry Saul, Dan Carson, Frank McNamara, JP Durkan, Jacqueline Burke, Jim Gildea, Jim O'Leary, John Kennedy, Justin Moylan, Kazi Ahmed, Liam Dockery, Lorraine Hall, Marie Baker, Mary Fayne, Maurice Dockrell, Michael Clark, Pierce Dargan, Tom Murphy",19,2026-01-01T00:00:00.000000
PJ Hegarty and sons,131859,https://www.lobbying.ie/return/131859,JKS Communications,Development and Zoning,"Jim Gildea, Jim O'Leary, Justin Moylan",3,2025-05-01T00:00:00.000000
PLANET PAYMENT IRELAND LIMITED,67505,https://www.lobbying.ie/return/67505,Planet,Tourism ,Paschal Donohoe,1,2020-09-01T00:00:00.000000
PORT OF CORK COMPANY,105873,https://www.lobbying.ie/return/105873,Fuzion Communications,Trade,David Stanton,1,2023-09-01T00:00:00.000000
POUNDLAND LIMITED,16209,https://www.lobbying.ie/return/16209,Wilson Hartnell,Development and Zoning,"John Curran, Trevor Gilligan",2,2017-01-01T00:00:00.000000
PREMIER LOTTERIES IRELAND DESIGNATED ACTIVITY COMPANY,54192,https://www.lobbying.ie/return/54192,Fennell Public Affairs Limited,Public Expenditure and Reform,"Colm Brophy, Ed Brophy, Jim O'Callaghan, Josepha Madigan, Katherine Licken, Martin Kenny, Paschal Donohoe, Robert Watt",8,2019-09-01T00:00:00.000000
PREMIER LOTTERIES IRELAND DESIGNATED ACTIVITY COMPANY,20888,https://www.lobbying.ie/return/20888,Hume Brophy,Public Expenditure and Reform,Robert Watt,1,2017-05-01T00:00:00.000000
PREMIER LOTTERIES IRELAND DESIGNATED ACTIVITY COMPANY,13262,https://www.lobbying.ie/return/13262,Hume Brophy,Public Expenditure and Reform,"David Moloney, Mary Kenny, Michael Noonan, Paschal Donohoe, Sean Kinsella, Stephen Lynam",6,2016-09-01T00:00:00.000000
PREPAYPOWER LIMITED,7477,https://www.lobbying.ie/return/7477,Hume Brophy,Energy and Natural Resources,"Darragh O'Brien, Denis Naughten, Paschal Donohoe, Ross Elwood, Stephen Lynam, Timmy Dooley",6,2016-05-01T00:00:00.000000
PREPAYPOWER LIMITED,4682,https://www.lobbying.ie/return/4682,Hume Brophy,Energy and Natural Resources,"Alex White, Paschal Donohoe, Stephen Lynam",3,2016-01-01T00:00:00.000000
PRIMARK LIMITED,106976,https://www.lobbying.ie/return/106976,Edelman Ireland,Economic Development and Industry,Dara Calleary,1,2023-09-01T00:00:00.000000
PRIORITY DRILLING LIMITED,31095,https://www.lobbying.ie/return/31095,Smyth Solicitors,Energy and Natural Resources,"Denis Naughten, Matthew Collins, Seán Kyne",3,2018-05-01T00:00:00.000000
PROTEGE INTERNATIONAL GROUP LTD,23099,https://www.lobbying.ie/return/23099,Hume Brophy,Agriculture,Catherine Murphy,1,2017-09-01T00:00:00.000000
PROVIDENCE RESOURCES PUBLIC LIMITED COMPANY,81904,https://www.lobbying.ie/return/81904,Heneghan PR,Energy and Natural Resources,"Billy Kelleher, Deirdre Clune, Jerry Buttimer, Seán Kelly",4,2022-01-01T00:00:00.000000
PROVIDENCE RESOURCES PUBLIC LIMITED COMPANY,85631,https://www.lobbying.ie/return/85631,AM O'Sullivan PR Ltd.,Energy and Natural Resources,"Eamon Ryan, Mark Griffin",2,2022-01-01T00:00:00.000000
PROVIDENCE RESOURCES PUBLIC LIMITED COMPANY,85675,https://www.lobbying.ie/return/85675,AM O'Sullivan PR Ltd.,Energy and Natural Resources,"Eamon Ryan, Mark Griffin",2,2022-01-01T00:00:00.000000
PROVIDENCE RESOURCES PUBLIC LIMITED COMPANY,85673,https://www.lobbying.ie/return/85673,AM O'Sullivan PR Ltd.,Energy and Natural Resources,"Leo Varadkar, Martin Fraser, Micheál Martin, Orlaigh Quinn",4,2022-01-01T00:00:00.000000
PROVIDENCE RESOURCES PUBLIC LIMITED COMPANY,85629,https://www.lobbying.ie/return/85629,AM O'Sullivan PR Ltd.,Energy and Natural Resources,"Kevin Barrett, Michael McGrath",2,2022-01-01T00:00:00.000000
PROVIDENCE RESOURCES PUBLIC LIMITED COMPANY,81439,https://www.lobbying.ie/return/81439,Heneghan PR,Energy and Natural Resources,Cormac Devlin,1,2021-09-01T00:00:00.000000
PROVIDENCE RESOURCES PUBLIC LIMITED COMPANY,81695,https://www.lobbying.ie/return/81695,AM O'Sullivan PR Ltd.,Energy and Natural Resources,Jerry Buttimer,1,2021-09-01T00:00:00.000000
PROVIDENCE RESOURCES PUBLIC LIMITED COMPANY,48960,https://www.lobbying.ie/return/48960,Drury,Energy and Natural Resources,"Danny Healy-Rae, Mattie McGrath, Michael Collins, Michael Healy-Rae",4,2019-01-01T00:00:00.000000
PSA Sugrue Ltd,119855,https://www.lobbying.ie/return/119855,Pinnacle Public Affairs Ltd,Development and Zoning,"Angie Baily, Anne O'Sullivan, Bobby O'Connell, Brendan Cronin, Brendán Fitzgerald, Charlie Farrelly, Dan McCarthy, Deirdre Ferris, Fionnán Fitzgerald, Jackie Healy-Rae, Jimmy Moloney, John O'Donoghue, Johnny Healy-Rae, Liam Speedy Nolan, Marie Moloney, Martin Grady, Maura Healy-Rae, Michael Cahill, Michael Foley, Michael Leane, Mike Kennelly, Mikey Sheehy, Niall 'Botty' O'Callaghan, Niall Kelleher, Norma Moriarty, Paul Daly, Podge Foley, Robert Brosnan, Sam Locke, Teddy O'Sullivan Casey, Terry O'Brien, Tom Barry, Tommy Griffin",33,2024-09-01T00:00:00.000000
PTC THERAPEUTICS INTERNATIONAL LIMITED,21256,https://www.lobbying.ie/return/21256,Hanover Media Strategy Limited,Health,"Alan Kelly, Bernard Durkan, Billy Kelleher, Brendan Griffin, Caoimhghín Ó Caoláin, Colm Burke, Denis Naughten, Jack Chambers, James Browne, James Reilly, Jerry Buttimer, John Brassil, Keith Swanick, Louise O'Reilly, Marc MacSharry, Margaret Murphy O'Mahony, Michael Harty, Micheál Martin",18,2017-05-01T00:00:00.000000
PTC THERAPEUTICS INTERNATIONAL LIMITED,15702,https://www.lobbying.ie/return/15702,Hanover Media Strategy Limited,Health,"Alan Kelly, Bernard Durkan, Billy Kelleher, Caoimhghín Ó Caoláin, Colm Burke, Denis Naughten, Finian McGrath, Jack Chambers, James Browne, Jerry Buttimer, John Brassil, Kate O'Connell, Katherine Zappone, Keith Swanick, Louise O'Reilly, Margaret Murphy O'Mahony, Michael Harty, Micheál Martin, Simon Harris",19,2017-01-01T00:00:00.000000
PTC Therapeutics,22980,https://www.lobbying.ie/return/22980,Hanover Media Strategy Limited,Health,"Bernard Durkan, Billy Kelleher, Colm Burke, Finian McGrath, James Browne, John Brassil, John O'Mahony, Keith Swanick, Louise O'Reilly, Marc MacSharry, Margaret Murphy O'Mahony, Mary Lou McDonald, Michael Harty, Micheál Martin, Máire Devine, Rose Conway-Walsh",16,2017-09-01T00:00:00.000000
Pacify,68264,https://www.lobbying.ie/return/68264,Vulcan Consulting Limited,Health,"Angela Flanagan, Annie Hoey, Colm Burke, Jennifer Whitmore, Kathleen Funchion, Neale Richmond, Neasa Hourigan",7,2020-09-01T00:00:00.000000
Pack2Go Europe,33461,https://www.lobbying.ie/return/33461,Pack2Go Europe,Environment,Denis Naughten,1,2018-05-01T00:00:00.000000
Pack2Go Europe,33129,https://www.lobbying.ie/return/33129,Instinctif Partners Public Affairs Ireland,Environment,Denis Naughten,1,2018-05-01T00:00:00.000000
Packside,94447,https://www.lobbying.ie/return/94447,DOWNEY PLANNING,Development and Zoning,Natalie Treacy,1,2022-09-01T00:00:00.000000
Packside,11334,https://www.lobbying.ie/return/11334,DOWNEY PLANNING,Development and Zoning,Lorna Nolan,1,2016-09-01T00:00:00.000000
Pancreatic Cancer Europe,49521,https://www.lobbying.ie/return/49521,RPP SRL,Health,"Deirdre Clune, Lynn Boylan, Mairead McGuinness, Marian Harkin, Seán Kelly",5,2019-01-01T00:00:00.000000
Pannonia Bio Art,86881,https://www.lobbying.ie/return/86881,Tiber Island Advisory Ltd,Energy and Natural Resources,"Darren O'Rourke, Eamon Ryan, Timmy Dooley",3,2022-05-01T00:00:00.000000
Pannonia Bio Zrt,46248,https://www.lobbying.ie/return/46248,Tiber Island Advisory Ltd,Energy and Natural Resources,"Catherine Byrne, Richard Bruton",2,2019-01-01T00:00:00.000000
Pannonia Bio Zrt,34494,https://www.lobbying.ie/return/34494,Tiber Island Advisory Ltd,Environment,Richard Bruton,1,2018-09-01T00:00:00.000000
Pannonia Ethanol,32567,https://www.lobbying.ie/return/32567,Skill Set Strategy Consultants,Energy and Natural Resources,"Deirdre Clune, SeÃ¡n Kelly",2,2018-05-01T00:00:00.000000
Pannonia Ethanol,22876,https://www.lobbying.ie/return/22876,Skill Set Strategy Consultants,Energy and Natural Resources,Seán Kelly,1,2017-09-01T00:00:00.000000
Pannonia Ethanol,23905,https://www.lobbying.ie/return/23905,Vulcan Consulting Limited,Transport,"Jonathan Hoare, Michael Creed, Pat Deering, Ross Elwood, Shane Ross",5,2017-09-01T00:00:00.000000
Pannonia Ethanol,18225,https://www.lobbying.ie/return/18225,Skill Set Strategy Consultants,Agriculture,"Aengus Ó Snodaigh, Bobby Aylward, Charlie McConalogue, Denis Naughten, Jackie Cahill, Jennifer Murnane O'Connor, John Curran, Martin Ferris, Michael Lowry, Michael W. D'Arcy, Pat Deering, Paul Daly, Seán Sherlock, Timmy Dooley, Willie Penrose",15,2017-05-01T00:00:00.000000
Pannonia Ethanol Zrt,28012,https://www.lobbying.ie/return/28012,Tiber Island Advisory Ltd,Energy and Natural Resources,"Michael Manley, Seán Kelly",2,2018-01-01T00:00:00.000000
Pannonia Ethanol Zrt,25553,https://www.lobbying.ie/return/25553,Tiber Island Advisory Ltd,Environment,"Bill Callanan, Denis Naughten, Hildegarde Naughton, Jonathan Hoare, Luke 'Ming' Flanagan, Mairead McGuinness, Marcella Corcoran Kennedy, Michael Creed, Pat Deering, Ross Elwood, Shane Ross",11,2017-09-01T00:00:00.000000
Pannonia Ethanol Zrt.,26571,https://www.lobbying.ie/return/26571,Skill Set Strategy Consultants,EU Affairs,"Deirdre Clune, Luke 'Ming' Flanagan, Mairead McGuinness, Matt Carthy, Seán Kelly",5,2018-01-01T00:00:00.000000
Pannonia Ethanol Zrt.,22139,https://www.lobbying.ie/return/22139,Tiber Island Advisory Ltd,EU Affairs,"Brendan Smith, Brian Carroll, Brian Crowley, Brian Hayes, Brid Cannon, Charlie McConalogue, Deirdre Clune, Eamon Ryan, Jim Walsh, John Curran, Kevin O'Keeffe, Luke 'Ming' Flanagan, Lynn Boylan, Mairead McGuinness, Marcella Corcoran Kennedy, Marian Harkin, Martin Ferris, Martin Kenny, Nessa Childers, Pat Casey, Timmy Dooley",21,2017-05-01T00:00:00.000000
Parents of local children,31414,https://www.lobbying.ie/return/31414,Enniscorthy & District Chamber,Community,Barbara Anne Murphy,1,2018-05-01T00:00:00.000000
Pat Halpin,28134,https://www.lobbying.ie/return/28134,Paul Allen & Associates Public Relations,Finance,Timmy Dooley,1,2018-01-01T00:00:00.000000
Pat Halpin,28131,https://www.lobbying.ie/return/28131,Paul Allen & Associates Public Relations,Finance,Michael McGrath,1,2018-01-01T00:00:00.000000
Pat O Donnell and Company,8778,https://www.lobbying.ie/return/8778,Jane Doyle,Development and Zoning,"Daithí De Róiste, Daithí Doolan, Vincent Jackson",3,2016-05-01T00:00:00.000000
Patricia Dowling,18231,https://www.lobbying.ie/return/18231,Shea Kelly,Development and Zoning,"David O'Connor, Joe Newman, Malachy Quinn",3,2016-09-01T00:00:00.000000
Patricia Kilbride,84344,https://www.lobbying.ie/return/84344,Pinnacle Public Affairs Ltd,Housing,Graham Doyle,1,2022-01-01T00:00:00.000000
Patrick Shanahan,6946,https://www.lobbying.ie/return/6946,Brendan Maloney,Development and Zoning,"Anne Breen, Billy Hillis, Darren Scully, Deborah Callaghan, James Lawless, Robert Power, Seamie Moore, Sorcha O'Neill, fintan Brett",9,2016-05-01T00:00:00.000000
Paul Dunne,94452,https://www.lobbying.ie/return/94452,DOWNEY PLANNING,Development and Zoning,"Angela Donnelly, Ann Graves",2,2022-09-01T00:00:00.000000
Paul Dunne,11335,https://www.lobbying.ie/return/11335,DOWNEY PLANNING,Development and Zoning,AnnMarie Farrelly,1,2016-09-01T00:00:00.000000
Payments Europe,127033,https://www.lobbying.ie/return/127033,FTI Consulting,Finance,"Brian Keegan, Cian O'Callaghan, Deborah Sweeney, Domhnall Cullinan, Fiona O'Connor, Ged Nash, George Lawlor, James O'Connor, Laura Mannion, Niamh Smyth, Paschal Donohoe, Pearse Doherty, Peter Burke, Robert Troy, Rose Conway-Walsh, Shane Cassells, Sinéad Gibney",17,2025-01-01T00:00:00.000000
Payments Europe,127034,https://www.lobbying.ie/return/127034,FTI Consulting,Finance,"Alan Dillon, Jenny McCormack",2,2025-01-01T00:00:00.000000
Payward Ireland Limited ,136332,https://www.lobbying.ie/return/136332,Hume Brophy,Banking and Financial Institutions,Vasileios Madouros,1,2025-09-01T00:00:00.000000
Payward Ireland Limited ,134483,https://www.lobbying.ie/return/134483,Hume Brophy,Banking and Financial Institutions,Micheal O'Keeffe,1,2025-09-01T00:00:00.000000
Payward Ireland Limited ,130394,https://www.lobbying.ie/return/130394,Hume Brophy,Banking and Financial Institutions,"Anne Marie McKiernan, Ged Nash, Gerry Cross, Robert Troy",4,2025-05-01T00:00:00.000000
Payward Ireland Limited ,124439,https://www.lobbying.ie/return/124439,Hume Brophy,Banking and Financial Institutions,"Gerry Cross, James Geoghegan, Paschal Donohoe, Robert Troy",4,2025-01-01T00:00:00.000000
Payward Ireland Limited ,119262,https://www.lobbying.ie/return/119262,Hume Brophy,Banking and Financial Institutions,"Jack Chambers, Neale Richmond",2,2024-09-01T00:00:00.000000
Payward Ireland Limited ,114284,https://www.lobbying.ie/return/114284,Hume Brophy,Banking and Financial Institutions,Neale Richmond,1,2024-05-01T00:00:00.000000
Peader Quinn,10428,https://www.lobbying.ie/return/10428,David Mulcahy Planning Consultants Ltd,Development and Zoning,Fintan Brett,1,2016-09-01T00:00:00.000000
Peer Group PLC,14421,https://www.lobbying.ie/return/14421,Cunanne Stratton Reynolds,Development and Zoning,Lar Power,1,2017-01-01T00:00:00.000000
Pembroke Beach Designated Activity Company,87961,https://www.lobbying.ie/return/87961,A&L Goodbody,Housing,"Darragh O'Brien, Owen Keegan",2,2022-05-01T00:00:00.000000
Perrigo Company Plc,49008,https://www.lobbying.ie/return/49008,Red Flag Consulting Limited,Economic Development and Industry,Michael McGrath,1,2019-01-01T00:00:00.000000
Peter Connolly,15268,https://www.lobbying.ie/return/15268,David Mulcahy Planning Consultants Ltd,Development and Zoning,"Anthony Larkin, Brendan Young, Frank O'Rourke, Ide Cussen, Joe Neville, Kevin Byrne, Michael Coleman",7,2017-01-01T00:00:00.000000
Peter Duncan and Gareth Brown,27996,https://www.lobbying.ie/return/27996,Margaret Ritchie Consultancy,Agriculture,"Jonathan Hoare, Michael Creed",2,2018-01-01T00:00:00.000000
Peter McCarthy,68286,https://www.lobbying.ie/return/68286,MKC Communications,Communications,"Eamon Ryan, John McDonald",2,2020-09-01T00:00:00.000000
Peter O'Brien and Sons Landscaping Ltd,78435,https://www.lobbying.ie/return/78435,Virtus Project Management Limited,Development and Zoning,"Anthony Lavin, Aoibhinn Tormey, Brian McDonagh, David Healy, Eoghan O'Brien, Jimmy Guerin, Joan Hopkins",7,2021-09-01T00:00:00.000000
Petrogas Group Ltd,58083,https://www.lobbying.ie/return/58083,David Mulcahy Planning Consultants Ltd,Development and Zoning,Simon Walton,1,2020-01-01T00:00:00.000000
Petrogas Group Ltd,21289,https://www.lobbying.ie/return/21289,David Mulcahy Planning Consultants Ltd,Development and Zoning,Fintan Brett,1,2017-05-01T00:00:00.000000
Petrogas Group Ltd,12074,https://www.lobbying.ie/return/12074,David Mulcahy Planning Consultants Ltd,Development and Zoning,"Anne Breen, Bernard Durkan, Billy Hillis, Brendan Weld, Carmel Kelly, Darren Scully, Deborah Callaghan, Fintan Brett, Frank O'Rourke, Robert Power, Seamie Moore, Sorcha O'Neill",12,2017-01-01T00:00:00.000000
Petrogas Group Ltd,11691,https://www.lobbying.ie/return/11691,David Mulcahy Planning Consultants Ltd,Development and Zoning,"Brendan Weld, Darren Scully, Fintan Brett, Frank O'Rourke",4,2017-01-01T00:00:00.000000
