unique_member_code,first_name,last_name,constituency_name,full_name,party,ministerial_office,year_elected,dail_number,dails_served,is_current
Don-Lydon.S.1987-04-25,Don,Lydon,Labour Panel,Don Lydon,Fianna Fáil,false,1987,22,"20,21,22",False
Joe-McHugh.S.2002-09-12,Joe,McHugh,Administrative Panel,Joe McHugh,Fine Gael,false,2002,22,"22,30,31,32,33",False
Derek-McDowell.D.1992-12-14,Derek,McDowell,Industrial and Commercial Panel,Derek McDowell,Labour Party,false,1992,22,"22,27,28",False
Dr-Martin-Mansergh.S.2002-09-12,Dr Martin,Mansergh,Agricultural Panel,Dr Martin Mansergh,Fianna Fáil,false,2002,22,"22,30",False
Kathleen-O'Meara.S.1997-09-17,Kathleen,O'Meara,Agricultural Panel,Kathleen O'Meara,Labour Party,false,1997,22,"21,22",False
John-Minihan.S.2002-09-12,John,Minihan,Nominated by the Taoiseach,John Minihan,Progressive Democrats,false,2002,22,22,False
Mary-O'Rourke.S.1981-10-08,Mary,O'Rourke,Nominated by the Taoiseach,Mary O'Rourke,Fianna Fáil,false,1981,22,"21,22,27,28,30",False
Brendan-Ryan.S.1982-05-13,Brendan,Ryan,National University of Ireland,Brendan Ryan,Labour Party,false,1982,22,"21,22",False
Brendan-Ryan.S.1981-08-10,Brendan,Ryan,National University of Ireland,Brendan Ryan,Labour Party,false,1981,22,"21,22",False
Sheila-Terry.S.2002-09-12,Sheila,Terry,Industrial and Commercial Panel,Sheila Terry,Fine Gael,false,2002,22,22,False
Joanna-Tuffy.S.2002-09-12,Joanna,Tuffy,Administrative Panel,Joanna Tuffy,Labour Party,false,2002,22,"22,30,31",False
Kate-Walsh.S.2002-09-12,Kate,Walsh,Nominated by the Taoiseach,Kate Walsh,Progressive Democrats,false,2002,22,22,False
Eamon-Scanlon.S.2002-09-12,Eamon,Scanlon,Agricultural Panel,Eamon Scanlon,Fianna Fáil,false,2002,22,"22,30,32,34",False
Rory-Kiely.S.1977-10-27,Rory,Kiely,Agricultural Panel,Rory Kiely,Fianna Fáil,false,1977,22,"20,21,22",False
James-Bannon.S.2002-09-12,James,Bannon,Industrial and Commercial Panel,James Bannon,Fine Gael,false,2002,22,"22,30,31",False
Michael-P-Kitt.D.1975-03-04,Michael P.,Kitt,Nominated by the Taoiseach,Michael P. Kitt,Fianna Fáil,false,1975,22,"22,27,28,30,31",False
Cyprian-Brady.S.2002-09-12,Cyprian,Brady,Nominated by the Taoiseach,Cyprian Brady,Fianna Fáil,false,2002,22,"22,30",False
Michael-Brennan.S.2002-12-09,Michael,Brennan,Nominated by the Taoiseach,Michael Brennan,Fianna Fáil,false,2002,22,22,False
Fergal-Browne.S.2002-09-12,Fergal,Browne,Labour Panel,Fergal Browne,Fine Gael,false,2002,22,22,False
Ulick-Burke.S.1981-10-08,Ulick,Burke,Agricultural Panel,Ulick Burke,Fine Gael,false,1981,22,"22,28,30",False
Noel-Coonan.S.2002-09-12,Noel,Coonan,Cultural and Educational Panel,Noel Coonan,Fine Gael,false,2002,22,"22,30,31",False
Margaret-Cox.S.1997-09-17,Margaret,Cox,Industrial and Commercial Panel,Margaret Cox,Fianna Fáil,false,1997,22,"21,22",False
Brendan-Daly.D.1973-03-14,Brendan,Daly,Labour Panel,Brendan Daly,Fianna Fáil,false,1973,22,"20,22,28",False
Eddie-Bohan.S.1987-04-25,Eddie,Bohan,Industrial and Commercial Panel,Eddie Bohan,Fianna Fáil,false,1987,22,"20,21,22",False
John-Dardis.S.1989-10-01,John,Dardis,Nominated by the Taoiseach,John Dardis,Progressive Democrats,false,1989,22,"20,21,22",False
Brendan-Kenneally.D.1989-06-29,Brendan,Kenneally,Nominated by the Taoiseach,Brendan Kenneally,Fianna Fáil,false,1989,22,"22,27,28,30",False
Mary-EF-Henry.S.1993-02-17,Mary E.F.,Henry,University of Dublin,Mary E.F. Henry,Independent,false,1993,22,"20,21,22",False
Dr-Maurice-Hayes.S.1997-09-17,Dr Maurice,Hayes,Nominated by the Taoiseach,Dr Maurice Hayes,Independent,false,1997,22,"21,22",False
Brian-Hayes.S.1995-12-20,Brian,Hayes,Cultural and Educational Panel,Brian Hayes,Fine Gael,false,1995,22,"20,22,28,30,31",False
Jim-Higgins.S.1981-10-08,Jim,Higgins,Labour Panel,Jim Higgins,Fine Gael,false,1981,22,"22,27,28",False
Liam-Fitzgerald.D.1981-06-30,Liam,Fitzgerald,Labour Panel,Liam Fitzgerald,Fianna Fáil,false,1981,22,"21,22,27",False
Michael-Finucane.D.1989-06-29,Michael,Finucane,Labour Panel,Michael Finucane,Fine Gael,false,1989,22,"22,27,28",False
Colm-O'Gorman.S.2007-05-03,Colm,O'Gorman,Nominated by the Taoiseach,Colm O'Gorman,Progressive Democrats,false,2007,22,22,False
Chris-Wall.S.2007-06-23,Chris,Wall,Nominated by the Taoiseach,Chris Wall,Fianna Fáil,false,2007,22,22,False
Seán-Dorgan.S.2007-06-23,Seán,Dorgan,Nominated by the Taoiseach,Seán Dorgan,Fianna Fáil,false,2007,22,22,False
Peter-Sands.S.2007-06-23,Peter,Sands,Nominated by the Taoiseach,Peter Sands,Fianna Fáil,false,2007,22,22,False
