identifier,first_name,last_name,sitting_days_attendance,other_days_attendance,year,iso_sitting_days_attendance,iso_other_days_attendance
Hearne_Rory,Rory,Hearne,,05/08/2025,2025,,2025-08-05
Hearne_Rory,Rory,Hearne,,28/08/2025,2025,,2025-08-28
Hearne_Rory,Rory,Hearne,,29/08/2025,2025,,2025-08-29
Hearne_Rory,Rory,Hearne,,02/09/2025,2025,,2025-09-02
Hearne_Rory,Rory,Hearne,,04/09/2025,2025,,2025-09-04
Hearne_Rory,Rory,Hearne,,05/09/2025,2025,,2025-09-05
Hearne_Rory,Rory,Hearne,,12/09/2025,2025,,2025-09-12
Hearne_Rory,Rory,Hearne,,22/09/2025,2025,,2025-09-22
Hearne_Rory,Rory,Hearne,,26/09/2025,2025,,2025-09-26
Hearne_Rory,Rory,Hearne,,29/09/2025,2025,,2025-09-29
Hearne_Rory,Rory,Hearne,,06/10/2025,2025,,2025-10-06
Hearne_Rory,Rory,Hearne,,31/10/2025,2025,,2025-10-31
Hearne_Rory,Rory,Hearne,13/01/2026,,2026,2026-01-13,
Hearne_Rory,Rory,Hearne,14/01/2026,,2026,2026-01-14,
Hearne_Rory,Rory,Hearne,15/01/2026,,2026,2026-01-15,
Hearne_Rory,Rory,Hearne,20/01/2026,,2026,2026-01-20,
Hearne_Rory,Rory,Hearne,21/01/2026,,2026,2026-01-21,
Hearne_Rory,Rory,Hearne,22/01/2026,,2026,2026-01-22,
Hearne_Rory,Rory,Hearne,27/01/2026,,2026,2026-01-27,
Hearne_Rory,Rory,Hearne,28/01/2026,,2026,2026-01-28,
Hearne_Rory,Rory,Hearne,29/01/2026,,2026,2026-01-29,
Hearne_Rory,Rory,Hearne,04/02/2026,,2026,2026-02-04,
Hearne_Rory,Rory,Hearne,05/02/2026,,2026,2026-02-05,
Hearne_Rory,Rory,Hearne,10/02/2026,,2026,2026-02-10,
Hearne_Rory,Rory,Hearne,12/02/2026,,2026,2026-02-12,
Hearne_Rory,Rory,Hearne,17/02/2026,,2026,2026-02-17,
Hearne_Rory,Rory,Hearne,18/02/2026,,2026,2026-02-18,
Hearne_Rory,Rory,Hearne,19/02/2026,,2026,2026-02-19,
Hearne_Rory,Rory,Hearne,24/02/2026,,2026,2026-02-24,
Hearne_Rory,Rory,Hearne,25/02/2026,,2026,2026-02-25,
Hearne_Rory,Rory,Hearne,26/02/2026,,2026,2026-02-26,
Hearne_Rory,Rory,Hearne,03/03/2026,,2026,2026-03-03,
Hearne_Rory,Rory,Hearne,04/03/2026,,2026,2026-03-04,
Hearne_Rory,Rory,Hearne,05/03/2026,,2026,2026-03-05,
Hearne_Rory,Rory,Hearne,18/03/2026,,2026,2026-03-18,
Hearne_Rory,Rory,Hearne,19/03/2026,,2026,2026-03-19,
Hearne_Rory,Rory,Hearne,24/03/2026,,2026,2026-03-24,
Hearne_Rory,Rory,Hearne,25/03/2026,,2026,2026-03-25,
Hearne_Rory,Rory,Hearne,26/03/2026,,2026,2026-03-26,
Hearne_Rory,Rory,Hearne,,08/01/2026,2026,,2026-01-08
Hearne_Rory,Rory,Hearne,,30/01/2026,2026,,2026-01-30
Hearne_Rory,Rory,Hearne,,09/02/2026,2026,,2026-02-09
Hearne_Rory,Rory,Hearne,,23/02/2026,2026,,2026-02-23
Hearne_Rory,Rory,Hearne,,27/02/2026,2026,,2026-02-27
Hearne_Rory,Rory,Hearne,,20/03/2026,2026,,2026-03-20
Heneghan_Barry,Barry,Heneghan,18/12/2024,,2024,2024-12-18,
Heneghan_Barry,Barry,Heneghan,,02/12/2024,2024,,2024-12-02
Heneghan_Barry,Barry,Heneghan,,03/12/2024,2024,,2024-12-03
Heneghan_Barry,Barry,Heneghan,,05/12/2024,2024,,2024-12-05
Heneghan_Barry,Barry,Heneghan,,09/12/2024,2024,,2024-12-09
Heneghan_Barry,Barry,Heneghan,,10/12/2024,2024,,2024-12-10
Heneghan_Barry,Barry,Heneghan,,11/12/2024,2024,,2024-12-11
