unique_member_code,first_name,last_name,constituency_name,full_name,party,ministerial_office,year_elected,dail_number,dails_served,is_current
Ossian-Smyth.D.2020-02-08,Ossian,Smyth,Dún Laoghaire,Ossian Smyth,Green Party,true,2020,33,33,False
John-Paul-Phelan.S.2002-09-12,John Paul,Phelan,Carlow-Kilkenny,John Paul Phelan,Fine Gael,false,2002,33,"31,32,33",False
Thomas-Pringle.D.2011-03-09,Thomas,Pringle,Donegal,Thomas Pringle,Independent,false,2011,33,"31,32,33",False
Anne-Rabbitte.D.2016-10-03,Anne,Rabbitte,Galway East,Anne Rabbitte,Fianna Fáil,true,2016,33,"26,27,32,33",False
Michael-Ring.D.1994-06-09,Michael,Ring,Mayo,Michael Ring,Fine Gael,false,1994,33,"31,32,33",False
Eamon-Ryan.D.2002-06-06,Eamon,Ryan,Dublin Bay South,Eamon Ryan,Green Party,true,2002,33,"32,33",False
Patricia-Ryan.D.2020-02-08,Patricia,Ryan,Kildare South,Patricia Ryan,Sinn Féin,false,2020,33,33,False
Matt-Shanahan.D.2020-02-08,Matt,Shanahan,Waterford,Matt Shanahan,Independent,false,2020,33,33,False
Seán-Sherlock.D.2007-06-14,Seán,Sherlock,Cork East,Seán Sherlock,Labour Party,false,2007,33,"31,32,33",False
Róisín-Shortall.D.1992-12-14,Róisín,Shortall,Dublin North-West,Róisín Shortall,Social Democrats,false,1992,33,"31,32,33",False
Bríd-Smith.D.2016-10-03,Bríd,Smith,Dublin South-Central,Bríd Smith,People Before Profit-Solidarity,false,2016,33,"32,33",False
Fergus-O'Dowd.S.1997-09-17,Fergus,O'Dowd,Louth,Fergus O'Dowd,Fine Gael,false,1997,33,"31,32,33",False
Brian-Leddin.D.2020-02-08,Brian,Leddin,Limerick City,Brian Leddin,Green Party,false,2020,33,33,False
Chris-Andrews.D.2007-06-14,Chris,Andrews,Dublin Bay South,Chris Andrews,Sinn Féin,false,2007,33,"27,33",False
Joan-Collins.D.2011-03-09,Joan,Collins,Dublin South-Central,Joan Collins,Independents 4 Change,false,2011,33,"31,32,33",False
Simon-Coveney.D.1998-10-23,Simon,Coveney,Cork South-Central,Simon Coveney,Fine Gael,true,1998,33,"31,32,33",False
Barry-Cowen.D.2011-03-09,Barry,Cowen,Laois-Offaly,Barry Cowen,Fianna Fáil,true,2011,33,"31,32,33",False
Michael-Creed.D.1989-06-29,Michael,Creed,Cork North-West,Michael Creed,Fine Gael,false,1989,33,"31,32,33",False
Patrick-Costello.D.2020-02-08,Patrick,Costello,Dublin South-Central,Patrick Costello,Green Party,false,2020,33,33,False
Joe-Carey.D.2007-06-14,Joe,Carey,Clare,Joe Carey,Fine Gael,false,2007,33,"31,32,33",False
Mick-Barry.D.2016-10-03,Mick,Barry,Cork North-Central,Mick Barry,People Before Profit-Solidarity,false,2016,33,"32,33",False
Cathal-Berry.D.2020-02-08,Cathal,Berry,Kildare South,Cathal Berry,Independent,false,2020,33,33,False
Martin-Browne.D.2020-02-08,Martin,Browne,Tipperary,Martin Browne,Sinn Féin,false,2020,33,33,False
Jackie-Cahill.D.2016-10-03,Jackie,Cahill,Tipperary,Jackie Cahill,Fianna Fáil,false,2016,33,"32,33",False
Richard-Bruton.S.1981-10-08,Richard,Bruton,Dublin Bay North,Richard Bruton,Fine Gael,false,1981,33,"31,32,33",False
Ciaran-Cannon.S.2007-07-23,Ciarán,Cannon,Galway East,Ciarán Cannon,Fine Gael,false,2007,33,"31,32,33",False
Seán-Haughey.S.1987-04-25,Seán,Haughey,Dublin Bay North,Seán Haughey,Fianna Fáil,false,1987,33,"32,33",False
Brendan-Griffin.D.2011-03-09,Brendan,Griffin,Kerry,Brendan Griffin,Fine Gael,false,2011,33,"31,32,33",False
Neasa-Hourigan.D.2020-02-08,Neasa,Hourigan,Dublin Central,Neasa Hourigan,Green Party,false,2020,33,33,False
Heather-Humphreys.D.2011-03-09,Heather,Humphreys,Cavan-Monaghan,Heather Humphreys,Fine Gael,true,2011,33,"31,32,33",False
Paul-Kehoe.D.2002-06-06,Paul,Kehoe,Wexford,Paul Kehoe,Fine Gael,false,2002,33,"31,32,33",False
Gino-Kenny.D.2016-10-03,Gino,Kenny,Dublin Mid-West,Gino Kenny,People Before Profit-Solidarity,false,2016,33,"32,33",False
Brendan-Howlin.S.1983-02-23,Brendan,Howlin,Wexford,Brendan Howlin,Labour Party,false,1983,33,"31,32,33",False
Stephen-Donnelly.D.2011-03-09,Stephen,Donnelly,Wicklow,Stephen Donnelly,Fianna Fáil,true,2011,33,"31,32,33",False
FrancisNoel-Duffy.D.2020-02-08,Francis Noel,Duffy,Dublin South-West,Francis Noel Duffy,Green Party,false,2020,33,33,False
Bernard-Durkan.D.1981-06-30,Bernard,Durkan,Kildare North,Bernard Durkan,Fine Gael,false,1981,33,"31,32,33",False
Damien-English.D.2002-06-06,Damien,English,Meath West,Damien English,Fine Gael,true,2002,33,"31,32,33",False
Alan-Farrell.D.2011-03-09,Alan,Farrell,Dublin Fingal,Alan Farrell,Fine Gael,false,2011,33,"26,31,32,33",False
Peter-Fitzpatrick.D.2011-03-09,Peter,Fitzpatrick,Louth,Peter Fitzpatrick,Independent,false,2011,33,"31,32,33",False
Joe-Flaherty.D.2020-02-08,Joe,Flaherty,Longford-Westmeath,Joe Flaherty,Fianna Fáil,false,2020,33,"26,27,33",False
Charles-Flanagan.D.1987-03-10,Charles,Flanagan,Laois-Offaly,Charles Flanagan,Fine Gael,false,1987,33,"31,32,33",False
Kathleen-Funchion.D.2016-10-03,Kathleen,Funchion,Carlow-Kilkenny,Kathleen Funchion,Sinn Féin,false,2016,33,"32,33",False
