local_authority,member,meeting_date,motion,vote,source_status,join_status
Carlow,Jim Deane,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Paul Doogue,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Michael Doran,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Andy Gladney,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Thomas Kinsella,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Ken Murnane,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Charlie Murphy,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Brian O’Donoghue,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,William Paton,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Daniel Pender,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,John Pender,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Fintan Phelan,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,William Quinn,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,printed_form
Carlow,Adrienne Wallace,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Ben Ward,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Fergal Browne,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,John Cassin,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",abstain,text,resolved
Carlow,Andrea Dalton,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,Jim Deane,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,Paul Doogue,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,Michael Doran,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,Andy Gladney,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,Thomas Kinsella,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,Ken Murnane,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,Charlie Murphy,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,Brian O’Donoghue,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,William Paton,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,Daniel Pender,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,John Pender,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
Carlow,Fintan Phelan,May 2026,"Resolution: Motion Defeated Opinion of the Chief Executive - Proposed Material Alteration No. 19 The rationale underpinning the recommendation outlined in the submissions from the TII, the NTA and the OPR for Pr",against,text,resolved
