local_authority,lea,name,party,status,source
Dublin City,Ballymun–Finglas,Gavin Pepper,Independent,sitting,Dublin City Council
Dublin City,Ballymun–Finglas,Anthony Connaghan,Sinn Féin,sitting,Dublin City Council
Dublin City,Ballymun–Finglas,Conor Reddy,PBP–Solidarity,sitting,Dublin City Council
Dublin City,Ballymun–Finglas,Mary Callaghan,Social Democrats,sitting,Dublin City Council
Dublin City,Ballymun–Finglas,Leslie Kane,Sinn Féin,sitting,Dublin City Council
Dublin City,Cabra–Glasnevin,Cieran Perry,Independent,sitting,Dublin City Council
Dublin City,Cabra–Glasnevin,Colm O'Rourke,Fine Gael,sitting,Dublin City Council
Dublin City,Cabra–Glasnevin,Gayle Ralph,Fine Gael,sitting,Dublin City Council
Dublin City,Cabra–Glasnevin,Cat O'Driscoll,Social Democrats,sitting,Dublin City Council
Dublin City,Cabra–Glasnevin,John Stephens,Fianna Fáil,sitting,Dublin City Council
Dublin City,Cabra–Glasnevin,Séamas McGrattan,Sinn Féin,sitting,Dublin City Council
Dublin City,Clontarf,Deirdre Heney,Fianna Fáil,sitting,Dublin City Council
Dublin City,Clontarf,Alison Field,Labour,sitting,Dublin City Council
Dublin City,Donaghmede,Daryl Barron,Fianna Fáil,sitting,Dublin City Council
Dublin City,Donaghmede,Paddy Monahan,Social Democrats,sitting,Dublin City Council
Dublin City,Donaghmede,Supriya Singh,Fine Gael,sitting,Dublin City Council
Dublin City,Donaghmede,Mícheál Mac Donncha,Sinn Féin,sitting,Dublin City Council
Dublin City,Kimmage–Rathmines,Punam Rane,Fine Gael,sitting,Dublin City Council
Dublin City,Kimmage–Rathmines,Fiona Connelly,Labour,sitting,Dublin City Council
Dublin City,Kimmage–Rathmines,Patrick Kinsella,Fine Gael,sitting,Dublin City Council
Dublin City,North Inner City,Ray McAdam,Fine Gael,sitting,Dublin City Council
Dublin City,North Inner City,Christy Burke,Independent,sitting,Dublin City Council
Dublin City,North Inner City,Malachy Steenson,Independent,sitting,Dublin City Council
Dublin City,North Inner City,Nial Ring,Independent,sitting,Dublin City Council
Dublin City,North Inner City,Janice Boylan,Sinn Féin,sitting,Dublin City Council
Dublin City,,North Inner City,Social Democrats,sitting,Dublin City Council
Dublin City,Pembroke,Dermot Lacey,Labour,sitting,Dublin City Council
Dublin City,Pembroke,Emma Blain,Fine Gael,sitting,Dublin City Council
Dublin City,Pembroke,Rory Hogan,Fianna Fáil,sitting,Dublin City Council
Dublin City,South East Inner City,Kourtney Kenny,Sinn Féin,sitting,Dublin City Council
Dublin City,South East Inner City,Danny Byrne,Fine Gael,sitting,Dublin City Council
Dublin City,South East Inner City,Cian Farrell,Social Democrats,sitting,Dublin City Council
Dublin City,South East Inner City,Mannix Flynn,Independent,sitting,Dublin City Council
Dublin City,South West Inner City,Darragh Moriarty,Labour,sitting,Dublin City Council
Dublin City,,South West Inner City,Social Democrats,sitting,Dublin City Council
Dublin City,South West Inner City,Ammar Ali,Fianna Fáil,sitting,Dublin City Council
Dublin City,,Tom Brabazon,Fianna Fáil,sitting,Dublin City Council
Dublin City,,Jen Cummins,Social Democrats,sitting,Dublin City Council
Dublin City,,Máire Devine,Sinn Féin,sitting,Dublin City Council
Dublin City,,James Geoghegan,Fine Gael,sitting,Dublin City Council
Dublin City,,Eoin Hayes,Social Democrats,sitting,Dublin City Council
Dublin City,,Barry Heneghan,Independent,sitting,Dublin City Council
Dublin City,,Naoise Ó Muirí,Fine Gael,sitting,Dublin City Council
Dublin City,,Tara Deacy,Social Democrats,sitting,Dublin City Council
Dublin City,,Catherine Stocker,Social Democrats,sitting,Dublin City Council
Dublin City,,Daniel Ennis,Social Democrats,sitting,Dublin City Council
Dublin City,,Philip Sutcliffe Snr,Independent Ireland,sitting,Dublin City Council
Dún Laoghaire-Rathdown,Blackrock,Marie Baker,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Blackrock,Michael Clark,Fianna Fáil,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Blackrock,Maurice Dockrell,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Blackrock,Martha Fanning,Labour,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Blackrock,Dan Carson,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Dundrum,Seán McLoughlin,Independent,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Dundrum,Jim O'Leary,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Dundrum,Peter O'Brien,Labour,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Dundrum,Anna Grainger,Fine Gael,sitting,Dún Laoghaire–Rathdown County Council
Dún Laoghaire-Rathdown,Dundrum,Anne Colgan,Independent,sitting,Dún Laoghaire–Rathdown County Council
