local_authority,meeting,doc_type,power_class,power_type,n_hits,source_status
Clare,2817,plenary_minutes,exec_noted_annual,executive,2,html
Clare,2814,plenary_minutes,reserved_veto_part8,reserved,8,html
Clare,2808,plenary_minutes,reserved_veto_s183,reserved,4,html
Clare,2807,plenary_minutes,reserved_veto_s183,reserved,4,html
Clare,2807,plenary_minutes,reserved_veto_part8,reserved,1,html
Clare,2802,plenary_minutes,reserved_real_budget,reserved,1,html
Clare,2802,plenary_minutes,reserved_veto_s183,reserved,9,html
Clare,2802,plenary_minutes,reserved_veto_part8,reserved,4,html
Clare,2801,plenary_minutes,reserved_real_budget,reserved,3,html
Clare,2801,plenary_minutes,reserved_real_lpt,reserved,6,html
Clare,2801,plenary_minutes,reserved_real_rates,reserved,3,html
Clare,2800,plenary_minutes,reserved_veto_s183,reserved,4,html
Clare,2800,plenary_minutes,reserved_veto_part8,reserved,4,html
Clare,2787,plenary_minutes,reserved_real_lpt,reserved,16,html
Clare,2787,plenary_minutes,reserved_veto_s183,reserved,8,html
Clare,2787,plenary_minutes,reserved_veto_part8,reserved,18,html
Clare,2783,plenary_minutes,reserved_veto_part8,reserved,4,html
Clare,2782,plenary_minutes,reserved_veto_part8,reserved,4,html
Clare,2782,plenary_minutes,exec_noted_annual,executive,1,html
Donegal,minutes-july-meeting-220724.pdf,plenary_minutes,reserved_real_devplan,reserved,1,text
Donegal,minutes-july-meeting-220724.pdf,plenary_minutes,reserved_real_lpt,reserved,2,text
Donegal,minutes-july-meeting-220724.pdf,plenary_minutes,reserved_veto_part8,reserved,2,text
Donegal,minutes-special-meeting-220125-2.pdf,plenary_minutes,reserved_veto_part8,reserved,1,text
Donegal,minutes-july-meeting-210725.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Donegal,minutes-july-meeting-210725.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Donegal,minutes-july-meeting-210725.pdf,plenary_minutes,reserved_veto_part8,reserved,5,text
Donegal,minutes-september-plenary-290925.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Donegal,minutes-september-plenary-290925.pdf,plenary_minutes,reserved_veto_part8,reserved,5,text
Donegal,minutes-annual-budget-meeting-211125.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Donegal,minutes-annual-budget-meeting-211125.pdf,plenary_minutes,reserved_real_lpt,reserved,1,text
Donegal,minutes-november-plenary-241125.pdf,plenary_minutes,reserved_real_devplan,reserved,1,text
Donegal,minutes-november-plenary-241125.pdf,plenary_minutes,reserved_veto_s183,reserved,5,text
Donegal,minutes-november-plenary-241125.pdf,plenary_minutes,reserved_veto_part8,reserved,4,text
Donegal,minutes-adjourned-budget-meeting-041225.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Donegal,minutes-adjourned-budget-meeting-041225.pdf,plenary_minutes,reserved_real_lpt,reserved,2,text
Donegal,minutes-adjourned-budget-meeting-041225.pdf,plenary_minutes,reserved_real_rates,reserved,1,text
Donegal,minutes-january-meeting-260126.pdf,plenary_minutes,reserved_veto_s183,reserved,3,text
Donegal,minutes-january-meeting-260126.pdf,plenary_minutes,reserved_veto_part8,reserved,4,text
Donegal,minutes-special-meeting-110226.pdf,plenary_minutes,reserved_veto_part8,reserved,3,text
Donegal,minutes-march-plenary-meeting-300326.pdf,plenary_minutes,reserved_real_budget,reserved,1,text
Donegal,minutes-march-plenary-meeting-300326.pdf,plenary_minutes,reserved_veto_s183,reserved,11,text
Donegal,minutes-march-plenary-meeting-300326.pdf,plenary_minutes,reserved_veto_part8,reserved,3,text
Donegal,minutes-special-plenary-meeting-150426.pdf,plenary_minutes,reserved_veto_part8,reserved,3,text
Donegal,minutes-july-meeting-250526.pdf,plenary_minutes,reserved_real_budget,reserved,2,text
Donegal,minutes-july-meeting-250526.pdf,plenary_minutes,reserved_veto_s183,reserved,11,text
Galway City,091219_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,8,ocr_winocr
Galway City,091219_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,1,ocr_winocr
Galway City,111119_01_Minutes.pdf,plenary_minutes,reserved_real_budget,reserved,6,ocr_winocr
Galway City,111119_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,2,ocr_winocr
Galway City,111119_01_Minutes.pdf,plenary_minutes,reserved_real_rates,reserved,5,ocr_winocr
Galway City,141019_01_Special%20Minutes.pdf,plenary_minutes,requisition_s140,reserved,2,ocr_winocr
Galway City,090919_01_Minutes.pdf,plenary_minutes,reserved_real_devplan,reserved,1,ocr_winocr
Galway City,090919_01_Minutes.pdf,plenary_minutes,reserved_real_lpt,reserved,10,ocr_winocr
Galway City,090919_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,5,ocr_winocr
Galway City,090919_01_Minutes.pdf,plenary_minutes,requisition_s140,reserved,2,ocr_winocr
Galway City,080719_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,2,ocr_winocr
Galway City,080719_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,1,ocr_winocr
Galway City,160419_01_Minutes.pdf,plenary_minutes,reserved_veto_s183,reserved,1,ocr_winocr
Galway City,160419_01_Minutes.pdf,plenary_minutes,reserved_veto_part8,reserved,7,ocr_winocr
