constituency_slug,constituency_name,candidate_slug,candidate_name,candidate_page_url,doc_type,doc_label,pdf_url,media_id
0e980-donegal,Donegal,7997d-carr-nuala,"Carr, Nuala",https://www.sipo.ie/en/collection/7997d-carr-nuala/,expense_statement,"Carr, Nuala GE 2024 Expense Statement",https://assets.sipo.ie/media/284929/60eaaeb0-c711-403a-94fa-4d799954b17e.pdf,284929
0e980-donegal,Donegal,a0f59-kennedy-claudia,"Kennedy, Claudia",https://www.sipo.ie/en/collection/a0f59-kennedy-claudia/,donation_statement,"Kennedy, Claudia - GE 2024 Donation Statement",https://assets.sipo.ie/media/284102/fc04b311-addf-42d7-b28c-9e39fb726a71.pdf,284102
0e980-donegal,Donegal,a0f59-kennedy-claudia,"Kennedy, Claudia",https://www.sipo.ie/en/collection/a0f59-kennedy-claudia/,expense_statement,"Kennedy, Claudia - GE 2024 Expense Statement",https://assets.sipo.ie/media/284100/41b55521-9979-4467-ba28-b9a75482fe09.pdf,284100
0e980-donegal,Donegal,a2f01-mcconnell-niall,"McConnell, Niall",https://www.sipo.ie/en/collection/a2f01-mcconnell-niall/,donation_statement,"McConnell, Niall - GE 2024 Donation Statement",https://assets.sipo.ie/media/284828/6d66a1e0-38b5-41b1-b156-a2eca1510101.pdf,284828
0e980-donegal,Donegal,a2f01-mcconnell-niall,"McConnell, Niall",https://www.sipo.ie/en/collection/a2f01-mcconnell-niall/,expense_statement,"McConnell, Niall - GE 2024 Expense Statement",https://assets.sipo.ie/media/284829/1b3fa451-46ee-4529-9484-5fa577d2afe0.pdf,284829
0e980-donegal,Donegal,a453c-ward-charles,"Ward, Charles",https://www.sipo.ie/en/collection/a453c-ward-charles/,expense_statement,"Ward, Charles GE 2024 Expense Statement",https://assets.sipo.ie/media/285390/d7a3f810-fbc0-4834-9995-ab3599b54086.pdf,285390
0e980-donegal,Donegal,ac854-gallagher-pat-the-cope,"Gallagher, Pat the Cope",https://www.sipo.ie/en/collection/ac854-gallagher-pat-the-cope/,expense_statement,"Gallagher, Pat the Cope - GE 2024 Expense Statement",https://assets.sipo.ie/media/284162/e0a98f3c-7595-44d9-acec-7e9257eb319c.pdf,284162
0e980-donegal,Donegal,bebee-jordan-noel,"Jordan, Noel",https://www.sipo.ie/en/collection/bebee-jordan-noel/,donation_statement,"Jordan, Noel - GE 2024 Donation Statement",https://assets.sipo.ie/media/284288/8d318765-7789-42c3-b8d0-18ac1b3002b3.pdf,284288
0e980-donegal,Donegal,bebee-jordan-noel,"Jordan, Noel",https://www.sipo.ie/en/collection/bebee-jordan-noel/,expense_statement,"Jordan, Noel - GE 2024 Expense Statement",https://assets.sipo.ie/media/284289/d19bc351-7dac-4a83-a85b-a412a1a2192b.pdf,284289
0e980-donegal,Donegal,e1ed1-bradley-nikki,"Bradley, Nikki",https://www.sipo.ie/en/collection/e1ed1-bradley-nikki/,donation_statement,"Bradley, Nikki GE 2024 Donation Statement",https://assets.sipo.ie/media/285276/5dcfda8d-9dde-45cb-b803-7b29bca76711.pdf,285276
0e980-donegal,Donegal,e1ed1-bradley-nikki,"Bradley, Nikki",https://www.sipo.ie/en/collection/e1ed1-bradley-nikki/,expense_statement,"Bradley, Nikki GE 2024 Expense Statement",https://assets.sipo.ie/media/285275/fa2f0ef0-d17f-4e78-ad0f-a7066317267c.pdf,285275
0e980-donegal,Donegal,f2816-pringle-thomas,"Pringle, Thomas",https://www.sipo.ie/en/collection/f2816-pringle-thomas/,donation_statement,"Pringle, Thomas - GE 2024 Donation Statement",https://assets.sipo.ie/media/285796/1b195ad8-8a0d-4389-a5bb-db402e9a9140.pdf,285796
0e980-donegal,Donegal,f2816-pringle-thomas,"Pringle, Thomas",https://www.sipo.ie/en/collection/f2816-pringle-thomas/,expense_statement,"Pringle, Thomas - GE 2024 Expense Statement",https://assets.sipo.ie/media/285798/b2059649-739e-4bac-9725-3c156cf8fbe5.pdf,285798
15d92-kildare-south,Kildare South,0b4e4-doran-edel,"Doran, Edel",https://www.sipo.ie/en/collection/0b4e4-doran-edel/,donation_statement,"Doran, Edel - GE2024 Donation Statement",https://assets.sipo.ie/media/285954/44c20c19-3941-4408-bf2f-b9b063a69995.pdf,285954
15d92-kildare-south,Kildare South,0b4e4-doran-edel,"Doran, Edel",https://www.sipo.ie/en/collection/0b4e4-doran-edel/,expense_statement,"Doran, Edel - GE 2024 Expense Statement",https://assets.sipo.ie/media/285953/a9781331-3281-4c78-9386-5af81285cd2a.pdf,285953
15d92-kildare-south,Kildare South,0fe85-ni-raghallaigh-shonagh,"Ní Raghallaigh, Shónagh",https://www.sipo.ie/en/collection/0fe85-ni-raghallaigh-shonagh/,expense_statement,"Ní Raghallaigh, Shónagh - GE 2024 Expense Statement",https://assets.sipo.ie/media/284262/597b2da8-738e-4507-988a-b2fa07814b56.pdf,284262
15d92-kildare-south,Kildare South,25293-berry-cathal,"Berry, Cathal",https://www.sipo.ie/en/collection/25293-berry-cathal/,donation_statement,"Berry, Cathal - GE 2024 Donation Statement",https://assets.sipo.ie/media/285541/6e0763ff-1237-4476-8109-6f3b05ef8246.pdf,285541
15d92-kildare-south,Kildare South,25293-berry-cathal,"Berry, Cathal",https://www.sipo.ie/en/collection/25293-berry-cathal/,expense_statement,"Berry, Cathal - GE 2024 Expense Statement",https://assets.sipo.ie/media/285130/24874f0b-28f7-42f8-9fe1-1c3048dcba95.pdf,285130
15d92-kildare-south,Kildare South,27026-cosgrave-rob,"Cosgrave, Rob",https://www.sipo.ie/en/collection/27026-cosgrave-rob/,donation_statement,"Cosgrave, Rob - GE 2024 Donation Statement",https://assets.sipo.ie/media/284792/2b3689e5-89b5-4173-bcd1-8c9400a93969.pdf,284792
15d92-kildare-south,Kildare South,27026-cosgrave-rob,"Cosgrave, Rob",https://www.sipo.ie/en/collection/27026-cosgrave-rob/,expense_statement,"Cosgrave, Rob - GE 2024 Expense Statement",https://assets.sipo.ie/media/284791/fcb8d296-26a8-4ef9-8d88-d9800f06cb3f.pdf,284791
15d92-kildare-south,Kildare South,299d0-ryan-patricia,"Ryan, Patricia",https://www.sipo.ie/en/collection/299d0-ryan-patricia/,donation_statement,"Ryan, Patricia - GE 2024 Donation Statement",https://assets.sipo.ie/media/284906/c0bb1dd4-fdc1-4980-9154-b90a1b399d69.pdf,284906
15d92-kildare-south,Kildare South,4721b-heydon-martin,"Heydon, Martin",https://www.sipo.ie/en/collection/4721b-heydon-martin/,expense_statement,"Heydon, Martin GE 2024 Expense Statement",https://assets.sipo.ie/media/285311/bef9d63b-4498-4afc-a9c3-eba369c4462a.pdf,285311
15d92-kildare-south,Kildare South,527ec-sood-monaa,"Sood, Monaa",https://www.sipo.ie/en/collection/527ec-sood-monaa/,donation_statement,"Sood, Monaa GE 2024 Donation Statement",https://assets.sipo.ie/media/284684/edf71ca2-9a2e-4f41-8454-f5ace7c39e09.pdf,284684
15d92-kildare-south,Kildare South,527ec-sood-monaa,"Sood, Monaa",https://www.sipo.ie/en/collection/527ec-sood-monaa/,expense_statement,"Sood, Monaa GE 2024 Expense Statement",https://assets.sipo.ie/media/284685/fe584aec-a209-4b2c-adc5-034ba1a6755f.pdf,284685
15d92-kildare-south,Kildare South,95248-carton-william,"Carton, William",https://www.sipo.ie/en/collection/95248-carton-william/,donation_statement,"Carton, William - GE 2024 Donation Statement",https://assets.sipo.ie/media/286032/03ce2ff5-5764-40d6-a741-844236ac13f3.pdf,286032
15d92-kildare-south,Kildare South,95248-carton-william,"Carton, William",https://www.sipo.ie/en/collection/95248-carton-william/,expense_statement,"Carton, William - GE 2024 Expenses Statement",https://assets.sipo.ie/media/286033/05ba9097-e113-49ba-97e8-078cfcb087c1.pdf,286033
15d92-kildare-south,Kildare South,a6082-pender-chris,"Pender, Chris",https://www.sipo.ie/en/collection/a6082-pender-chris/,donation_statement,"Pender, Chris - GE 2024 Donation Statement",https://assets.sipo.ie/media/285029/38610c90-87e6-48a1-9fd8-6364ac068eb9.pdf,285029
15d92-kildare-south,Kildare South,a6082-pender-chris,"Pender, Chris",https://www.sipo.ie/en/collection/a6082-pender-chris/,expense_statement,"Pender, Chris - GE 2024 Expense Statement",https://assets.sipo.ie/media/285030/c00c7c44-97ac-4a69-899e-fcaadd553138.pdf,285030
15d92-kildare-south,Kildare South,cf6b3-wall-mark,"Wall, Mark",https://www.sipo.ie/en/collection/cf6b3-wall-mark/,expense_statement,"Wall, Mark - GE 2024 Expense Statement",https://assets.sipo.ie/media/285359/d6f345d1-1269-4d37-88b3-0d3d46df7867.pdf,285359
15d92-kildare-south,Kildare South,e9be3-byrne-melissa,"Byrne, Melissa",https://www.sipo.ie/en/collection/e9be3-byrne-melissa/,donation_statement,"Byrne, Melissa - GE 2024 Donation Statement",https://assets.sipo.ie/media/284602/3706450c-98ed-4a06-b0e4-7cc0eadbb79c.pdf,284602
15d92-kildare-south,Kildare South,e9be3-byrne-melissa,"Byrne, Melissa",https://www.sipo.ie/en/collection/e9be3-byrne-melissa/,expense_statement,"Byrne, Melissa - GE 2024 Expense Statement",https://assets.sipo.ie/media/284603/4ff42393-69f6-454b-ad6b-52090d634411.pdf,284603
15d92-kildare-south,Kildare South,fbd95-oloughlin-fiona,"O'Loughlin, Fiona",https://www.sipo.ie/en/collection/fbd95-oloughlin-fiona/,donation_statement,"O'Loughlin, Fiona - GE 2024 Donation Statement",https://assets.sipo.ie/media/284475/56caadc8-23bc-4fc4-953a-3bf5d729ee07.pdf,284475
15d92-kildare-south,Kildare South,fbd95-oloughlin-fiona,"O'Loughlin, Fiona",https://www.sipo.ie/en/collection/fbd95-oloughlin-fiona/,expense_statement,"O'Loughlin, Fiona - GE 2024 Expense Statement",https://assets.sipo.ie/media/284474/bf29047d-d590-4547-bed1-99874a82b18d.pdf,284474
160a9-dublin-fingal-east,Dublin Fingal East,1df18-devi-manju,"Devi, Manju",https://www.sipo.ie/en/collection/1df18-devi-manju/,donation_statement,"Devi, Manju - GE 2024 Donation Statement",https://assets.sipo.ie/media/284198/cc20f8ba-eefb-44b1-a8bd-099f0d558789.pdf,284198
160a9-dublin-fingal-east,Dublin Fingal East,1df18-devi-manju,"Devi, Manju",https://www.sipo.ie/en/collection/1df18-devi-manju/,expense_statement,"Devi, Manju - GE 2024 Expense Statement",https://assets.sipo.ie/media/284196/a4e75a81-9293-442e-861e-ae04210bb7fd.pdf,284196
160a9-dublin-fingal-east,Dublin Fingal East,307ae-gilroy-ben,"Gilroy, Ben",https://www.sipo.ie/en/collection/307ae-gilroy-ben/,donation_statement,"Gilroy, Ben - GE 2024 Donation Statement",https://assets.sipo.ie/media/285993/355148a5-b994-4436-a9f5-177a59dfa1a6.pdf,285993
160a9-dublin-fingal-east,Dublin Fingal East,307ae-gilroy-ben,"Gilroy, Ben",https://www.sipo.ie/en/collection/307ae-gilroy-ben/,expense_statement,"Gilroy, Ben - GE 2024 Expense Statement",https://assets.sipo.ie/media/285992/1dd5135a-783d-4fc3-a211-e6587f8ebdee.pdf,285992
160a9-dublin-fingal-east,Dublin Fingal East,30878-donnelly-tony,"Donnelly, Tony",https://www.sipo.ie/en/collection/30878-donnelly-tony/,donation_statement,"Donnelly, Tony - GE 2024 Donation Statement",https://assets.sipo.ie/media/285823/4d0f3f4a-50a1-4a8c-ba7f-7749738a4db7.pdf,285823
